,links
1863,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0119822', 'url': 'https://www.imdb.com/title/tt0119822', 'tcourl': 'https://t.co/0qzdfhcZkc', 'indices': [45, 68]}]"
1864,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt176407…', 'url': 'https://www.imdb.com/title/tt17640714', 'tcourl': 'https://t.co/b4FQUfvOLG', 'indices': [38, 61]}]"
1865,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7693316', 'url': 'https://www.imdb.com/title/tt7693316', 'tcourl': 'https://t.co/Jj0Dujrz1D', 'indices': [136, 159]}]"
1866,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt131828…', 'url': 'https://www.imdb.com/title/tt13182834', 'tcourl': 'https://t.co/4Q9peQTqFB', 'indices': [38, 61]}]"
1867,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt115270…', 'url': 'https://www.imdb.com/title/tt11527058', 'tcourl': 'https://t.co/Sb0DOIb57K', 'indices': [52, 75]}]"
1868,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4203910', 'url': 'https://www.imdb.com/title/tt4203910', 'tcourl': 'https://t.co/OqKtgQ32CE', 'indices': [65, 88]}]"
1869,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157714…', 'url': 'https://www.imdb.com/title/tt15771446', 'tcourl': 'https://t.co/QO3dE3LPZQ', 'indices': [53, 76]}]"
1870,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0705274', 'url': 'https://www.imdb.com/title/tt0705274', 'tcourl': 'https://t.co/CKjKwSXaox', 'indices': [51, 74]}]"
1871,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt196232…', 'url': 'https://www.imdb.com/title/tt19623240', 'tcourl': 'https://t.co/WbFfL0pAlh', 'indices': [86, 109]}]"
1872,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt153010…', 'url': 'https://www.imdb.com/title/tt15301048', 'tcourl': 'https://t.co/PYk78dnvcz', 'indices': [42, 65]}]"
1873,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157714…', 'url': 'https://www.imdb.com/title/tt15771446', 'tcourl': 'https://t.co/PLTrITjt1Z', 'indices': [73, 96]}]"
1874,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3012698', 'url': 'https://www.imdb.com/title/tt3012698', 'tcourl': 'https://t.co/PvWlspStOh', 'indices': [48, 71]}]"
1875,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157714…', 'url': 'https://www.imdb.com/title/tt15771446', 'tcourl': 'https://t.co/s2CO5ZHaSw', 'indices': [102, 125]}]"
1876,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt133629…', 'url': 'https://www.imdb.com/title/tt13362962', 'tcourl': 'https://t.co/O2pbPQUtwC', 'indices': [144, 167]}]"
1877,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0111161', 'url': 'https://www.imdb.com/title/tt0111161', 'tcourl': 'https://t.co/MYGexpj1a0', 'indices': [62, 85]}]"
1878,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/ZsSwlH2IGu', 'indices': [67, 90]}]"
1879,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9660502', 'url': 'https://www.imdb.com/title/tt9660502', 'tcourl': 'https://t.co/z6d49qmScB', 'indices': [80, 103]}]"
1880,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157714…', 'url': 'https://www.imdb.com/title/tt15771446', 'tcourl': 'https://t.co/dHLEJJujf2', 'indices': [90, 113]}]"
1881,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157714…', 'url': 'https://www.imdb.com/title/tt15771446', 'tcourl': 'https://t.co/o7JIc1MVsv', 'indices': [52, 75]}]"
1882,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747178', 'tcourl': 'https://t.co/dJHurh7vGV', 'indices': [105, 128]}]"
1883,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/QlxkeQ7Z3O', 'indices': [231, 254]}]"
1884,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2876480', 'url': 'https://www.imdb.com/title/tt2876480', 'tcourl': 'https://t.co/7jN8k3QQN1', 'indices': [98, 121]}]"
1885,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0077578', 'url': 'https://www.imdb.com/title/tt0077578', 'tcourl': 'https://t.co/TlEQOGErXU', 'indices': [36, 59]}]"
1886,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt106653…', 'url': 'https://www.imdb.com/title/tt10665342', 'tcourl': 'https://t.co/EWKNz4sWPC', 'indices': [56, 79]}]"
1887,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/3PWCIWxp6p', 'indices': [47, 70]}]"
1888,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt139240…', 'url': 'https://www.imdb.com/title/tt13924066', 'tcourl': 'https://t.co/XrZ5HR7izX', 'indices': [43, 66]}]"
1889,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9663168', 'url': 'https://www.imdb.com/title/tt9663168', 'tcourl': 'https://t.co/cQb5gspZrF', 'indices': [47, 70]}]"
1890,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/pFyIAZdO6s', 'indices': [47, 70]}]"
1891,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt153010…', 'url': 'https://www.imdb.com/title/tt15301048', 'tcourl': 'https://t.co/Z61sBF9oVw', 'indices': [197, 220]}]"
1892,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8526872', 'url': 'https://www.imdb.com/title/tt8526872', 'tcourl': 'https://t.co/vyvAhXMB1Z', 'indices': [46, 69]}]"
1893,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt139187…', 'url': 'https://www.imdb.com/title/tt13918776', 'tcourl': 'https://t.co/XZnx5xSuSG', 'indices': [44, 67]}]"
1894,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt272564…', 'url': 'https://www.imdb.com/title/tt27256485', 'tcourl': 'https://t.co/pBk5ME25kX', 'indices': [89, 112]}]"
1895,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt239034…', 'url': 'https://www.imdb.com/title/tt23903430', 'tcourl': 'https://t.co/SJxs5dPe0F', 'indices': [91, 114]}]"
1896,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/lESpof3gOw', 'indices': [37, 60]}]"
1897,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/cl9jaaBXT2', 'indices': [36, 59]}]"
1898,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7144666', 'url': 'https://www.imdb.com/title/tt7144666', 'tcourl': 'https://t.co/Sf2kjeXVjj', 'indices': [42, 65]}]"
1899,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0211915', 'url': 'https://www.imdb.com/title/tt0211915', 'tcourl': 'https://t.co/b2wDRBgFEe', 'indices': [33, 56]}]"
1900,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103222…', 'url': 'https://www.imdb.com/title/tt10322274', 'tcourl': 'https://t.co/ZMxU0Kvknn', 'indices': [37, 60]}]"
1901,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt125936…', 'url': 'https://www.imdb.com/title/tt12593682', 'tcourl': 'https://t.co/CKKLSSrmqP', 'indices': [40, 63]}]"
1902,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/zk9mgf4d8M', 'indices': [47, 70]}]"
1903,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8847712', 'url': 'https://www.imdb.com/title/tt8847712', 'tcourl': 'https://t.co/CPomCeFUSv', 'indices': [85, 108]}]"
1904,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt139384…', 'url': 'https://www.imdb.com/title/tt13938472', 'tcourl': 'https://t.co/ETnmrSxrEl', 'indices': [55, 78]}]"
1905,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0066491', 'url': 'https://www.imdb.com/title/tt0066491', 'tcourl': 'https://t.co/51F314mfkU', 'indices': [36, 59]}]"
1906,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt133529…', 'url': 'https://www.imdb.com/title/tt13352968', 'tcourl': 'https://t.co/UV3Ae40CWP', 'indices': [55, 78]}]"
1907,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9392374', 'url': 'https://www.imdb.com/title/tt9392374', 'tcourl': 'https://t.co/Wa3dhKONsw', 'indices': [31, 54]}]"
1908,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt126646…', 'url': 'https://www.imdb.com/title/tt12664618', 'tcourl': 'https://t.co/3i2CSMiAIX', 'indices': [37, 60]}]"
1909,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt105402…', 'url': 'https://www.imdb.com/title/tt10540276', 'tcourl': 'https://t.co/hGumRqc2W7', 'indices': [41, 64]}]"
1910,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt106403…', 'url': 'https://www.imdb.com/title/tt10640346', 'tcourl': 'https://t.co/9RDPW5fvIv', 'indices': [257, 280]}]"
1911,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/rU0hSpWBXG', 'indices': [38, 61]}]"
1912,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt156771…', 'url': 'https://www.imdb.com/title/tt15677150', 'tcourl': 'https://t.co/3Vcp0Ai5oQ', 'indices': [38, 61]}]"
1913,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0081455', 'url': 'https://www.imdb.com/title/tt0081455', 'tcourl': 'https://t.co/dqG7C6t83E', 'indices': [35, 58]}]"
1914,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2582802', 'url': 'https://www.imdb.com/title/tt2582802', 'tcourl': 'https://t.co/FTUFHvctPi', 'indices': [53, 76]}]"
1915,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2911666', 'url': 'https://www.imdb.com/title/tt2911666', 'tcourl': 'https://t.co/l3qglM0lYi', 'indices': [37, 60]}]"
1916,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/qNImvfTfak', 'indices': [48, 71]}]"
1917,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt5460658', 'url': 'https://www.imdb.com/title/tt5460658', 'tcourl': 'https://t.co/qvRYgpDR44', 'indices': [41, 64]}]"
1918,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8206668', 'url': 'https://www.imdb.com/title/tt8206668', 'tcourl': 'https://t.co/O2Ti23PwrD', 'indices': [40, 63]}]"
1919,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt229867…', 'url': 'https://www.imdb.com/title/tt22986710', 'tcourl': 'https://t.co/mmb42GriqG', 'indices': [42, 65]}]"
1920,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt118663…', 'url': 'https://www.imdb.com/title/tt11866324', 'tcourl': 'https://t.co/AJTS68ME6g', 'indices': [31, 54]}]"
1921,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0053472', 'url': 'https://www.imdb.com/title/tt0053472', 'tcourl': 'https://t.co/3N9mrjJZSN', 'indices': [44, 67]}]"
1922,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0293662', 'url': 'https://www.imdb.com/title/tt0293662', 'tcourl': 'https://t.co/SD2wngqLG3', 'indices': [42, 65]}]"
1923,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0448115', 'url': 'https://www.imdb.com/title/tt0448115', 'tcourl': 'https://t.co/INXPf4Bj0Y', 'indices': [34, 57]}]"
1924,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6443346', 'url': 'https://www.imdb.com/title/tt6443346', 'tcourl': 'https://t.co/17pvS5gs4C', 'indices': [37, 60]}]"
1925,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt148860…', 'url': 'https://www.imdb.com/title/tt1488606/?ref_=ext_shr_tw', 'tcourl': 'https://t.co/rzpQO4vPN6', 'indices': [46, 69]}]"
1926,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0780504', 'url': 'https://www.imdb.com/title/tt0780504', 'tcourl': 'https://t.co/i2Aa66Fp1Z', 'indices': [33, 56]}]"
1927,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7335184', 'url': 'https://www.imdb.com/title/tt7335184', 'tcourl': 'https://t.co/rLUOeNFnZ0', 'indices': [33, 56]}]"
1928,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt148952…', 'url': 'https://www.imdb.com/title/tt14895206', 'tcourl': 'https://t.co/zANs53uVkE', 'indices': [44, 67]}]"
1929,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/jUF1VfP5xe', 'indices': [48, 71]}]"
1930,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt175438…', 'url': 'https://www.imdb.com/title/tt17543896', 'tcourl': 'https://t.co/qhUIlxZ6Ut', 'indices': [40, 63]}]"
1931,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt212161…', 'url': 'https://www.imdb.com/title/tt21216104', 'tcourl': 'https://t.co/qymw0FS3Fc', 'indices': [44, 67]}]"
1932,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt5218434', 'url': 'https://www.imdb.com/title/tt5218434', 'tcourl': 'https://t.co/5ziDQeqR5R', 'indices': [64, 87]}]"
1933,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt156794…', 'url': 'https://www.imdb.com/title/tt15679400', 'tcourl': 'https://t.co/kNrRu9Copx', 'indices': [45, 68]}]"
1934,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt004287…', 'url': 'https://www.imdb.com/title/tt0042876/', 'tcourl': 'https://t.co/D36RbUodv7', 'indices': [29, 52]}]"
1935,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0730518', 'url': 'https://www.imdb.com/title/tt0730518', 'tcourl': 'https://t.co/9278JjLs4O', 'indices': [62, 85]}]"
1936,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt197702…', 'url': 'https://www.imdb.com/title/tt19770238', 'tcourl': 'https://t.co/ovk89LCRLX', 'indices': [35, 58]}]"
1937,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt222978…', 'url': 'https://www.imdb.com/title/tt22297828', 'tcourl': 'https://t.co/D6ryK8qlDd', 'indices': [47, 70]}]"
1938,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt156771…', 'url': 'https://www.imdb.com/title/tt15677150', 'tcourl': 'https://t.co/V8WRsPIgXn', 'indices': [38, 61]}]"
1939,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0017438', 'url': 'https://www.imdb.com/title/tt0017438', 'tcourl': 'https://t.co/51s6iMlOTL', 'indices': [47, 70]}]"
1940,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0387199', 'url': 'https://www.imdb.com/title/tt0387199', 'tcourl': 'https://t.co/BA8VcrkaZO', 'indices': [41, 64]}]"
1941,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0104348', 'url': 'https://www.imdb.com/title/tt0104348', 'tcourl': 'https://t.co/arLJMWOr91', 'indices': [46, 69]}]"
1942,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9198364', 'url': 'https://www.imdb.com/title/tt9198364', 'tcourl': 'https://t.co/rosjVIxBC1', 'indices': [58, 81]}]"
1943,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9114286', 'url': 'https://www.imdb.com/title/tt9114286', 'tcourl': 'https://t.co/PL4xRMBE6d', 'indices': [57, 80]}]"
1944,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9853500', 'url': 'https://www.imdb.com/title/tt9853500', 'tcourl': 'https://t.co/QKS0biY1Wt', 'indices': [72, 95]}]"
1945,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0048750', 'url': 'https://www.imdb.com/title/tt0048750', 'tcourl': 'https://t.co/smF9nR3Ow0', 'indices': [49, 72]}]"
1946,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0086567', 'url': 'https://www.imdb.com/title/tt0086567', 'tcourl': 'https://t.co/KsbVt8G7om', 'indices': [51, 74]}]"
1947,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6722802', 'url': 'https://www.imdb.com/title/tt6722802', 'tcourl': 'https://t.co/28UrbPB1Xa', 'indices': [34, 57]}]"
1948,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt146594…', 'url': 'https://www.imdb.com/title/tt14659486', 'tcourl': 'https://t.co/WSOEaOYTiT', 'indices': [62, 85]}]"
1949,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt115270…', 'url': 'https://www.imdb.com/title/tt11527058', 'tcourl': 'https://t.co/AekROGWoTa', 'indices': [52, 75]}]"
1950,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt272012…', 'url': 'https://www.imdb.com/title/tt27201294', 'tcourl': 'https://t.co/m3L319upFM', 'indices': [58, 81]}]"
1951,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0077631', 'url': 'https://www.imdb.com/title/tt0077631', 'tcourl': 'https://t.co/bWKpnmgvvJ', 'indices': [65, 88]}]"
1952,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/UXlaYWJbfc', 'indices': [47, 70]}]"
1953,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103662…', 'url': 'https://www.imdb.com/title/tt10366206', 'tcourl': 'https://t.co/LqTS4fdZFr', 'indices': [71, 94]}]"
1954,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1440755', 'url': 'https://www.imdb.com/title/tt1440755', 'tcourl': 'https://t.co/qypjDhxaCm', 'indices': [55, 78]}]"
1955,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7322224', 'url': 'https://www.imdb.com/title/tt7322224', 'tcourl': 'https://t.co/Th8SEtzvGb', 'indices': [46, 69]}]"
1956,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt220207…', 'url': 'https://www.imdb.com/title/tt22020734/', 'tcourl': 'https://t.co/g1BBB00vki', 'indices': [49, 72]}]"
1957,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt220207…', 'url': 'https://www.imdb.com/title/tt22020734', 'tcourl': 'https://t.co/0tQ9L8rLu0', 'indices': [43, 66]}]"
1958,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt220207…', 'url': 'https://www.imdb.com/title/tt22020734', 'tcourl': 'https://t.co/Bfs60ohIk0', 'indices': [48, 71]}]"
1959,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9140554', 'url': 'https://www.imdb.com/title/tt9140554', 'tcourl': 'https://t.co/yRgoVP4qNb', 'indices': [102, 125]}]"
1960,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6741278', 'url': 'https://www.imdb.com/title/tt6741278', 'tcourl': 'https://t.co/cUP5CpO0jD', 'indices': [96, 119]}]"
1961,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0121955', 'url': 'https://www.imdb.com/title/tt0121955', 'tcourl': 'https://t.co/DszblbojAD', 'indices': [74, 97]}]"
1962,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8111088', 'url': 'https://www.imdb.com/title/tt8111088', 'tcourl': 'https://t.co/lzNHzlUBpF', 'indices': [87, 110]}]"
1963,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7131622', 'url': 'https://www.imdb.com/title/tt7131622', 'tcourl': 'https://t.co/UrwNluG2y2', 'indices': [148, 171]}]"
1964,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6710474', 'url': 'https://www.imdb.com/title/tt6710474', 'tcourl': 'https://t.co/xDBXa7ybkg', 'indices': [77, 100]}]"
1965,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3263904', 'url': 'https://www.imdb.com/title/tt3263904', 'tcourl': 'https://t.co/CdgqsMNokv', 'indices': [32, 55]}]"
1966,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0944947', 'url': 'https://www.imdb.com/title/tt0944947', 'tcourl': 'https://t.co/b0Vv3fSBCS', 'indices': [132, 155]}]"
1967,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt125936…', 'url': 'https://www.imdb.com/title/tt12593682', 'tcourl': 'https://t.co/0oKbHUe20n', 'indices': [177, 200]}]"
1968,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt151809…', 'url': 'https://www.imdb.com/title/tt15180910', 'tcourl': 'https://t.co/bNjL4HPsPE', 'indices': [201, 224]}]"
1969,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0790736', 'url': 'https://www.imdb.com/title/tt0790736', 'tcourl': 'https://t.co/au0gxbUkWh', 'indices': [36, 59]}]"
1970,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt132800…', 'url': 'https://www.imdb.com/title/tt13280054', 'tcourl': 'https://t.co/5mKWSKVLEp', 'indices': [32, 55]}]"
1971,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9114286', 'url': 'https://www.imdb.com/title/tt9114286', 'tcourl': 'https://t.co/1OzQ82IaiG', 'indices': [57, 80]}]"
1972,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8806524', 'url': 'https://www.imdb.com/title/tt8806524', 'tcourl': 'https://t.co/Fc07DkZkwK', 'indices': [183, 206]}]"
1973,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157150…', 'url': 'https://www.imdb.com/title/tt15715052', 'tcourl': 'https://t.co/wauseSByqx', 'indices': [112, 135]}]"
1974,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt142695…', 'url': 'https://www.imdb.com/title/tt14269590', 'tcourl': 'https://t.co/QKpF4pCE3p', 'indices': [74, 97]}]"
1975,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt156771…', 'url': 'https://www.imdb.com/title/tt15677150', 'tcourl': 'https://t.co/zrzxvsiamC', 'indices': [133, 156]}]"
1976,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt145149…', 'url': 'https://www.imdb.com/title/tt14514964', 'tcourl': 'https://t.co/s0GLAfoWle', 'indices': [146, 169]}]"
1977,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt156771…', 'url': 'https://www.imdb.com/title/tt15677150', 'tcourl': 'https://t.co/510eXKt9so', 'indices': [181, 204]}]"
1978,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8946378', 'url': 'https://www.imdb.com/title/tt8946378', 'tcourl': 'https://t.co/YJAEzSGITA', 'indices': [144, 167]}]"
1979,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1846589', 'url': 'https://www.imdb.com/title/tt1846589', 'tcourl': 'https://t.co/rGaVrF73ko', 'indices': [61, 84]}]"
1980,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt115645…', 'url': 'https://www.imdb.com/title/tt11564570', 'tcourl': 'https://t.co/DLm9vILrbJ', 'indices': [214, 237]}]"
1981,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8749198', 'url': 'https://www.imdb.com/title/tt8749198', 'tcourl': 'https://t.co/pqCZwMLGYl', 'indices': [129, 152]}]"
1982,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt235719…', 'url': 'https://www.imdb.com/title/tt23571908', 'tcourl': 'https://t.co/Q8uRtP70wF', 'indices': [253, 276]}]"
1983,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103222…', 'url': 'https://www.imdb.com/title/tt10322274', 'tcourl': 'https://t.co/ZMxU0Kvknn', 'indices': [37, 60]}]"
1984,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7985704', 'url': 'https://www.imdb.com/title/tt7985704', 'tcourl': 'https://t.co/56DyTbg8WI', 'indices': [84, 107]}]"
1985,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3155298', 'url': 'https://www.imdb.com/title/tt3155298', 'tcourl': 'https://t.co/kqfsJpB6UX', 'indices': [66, 89]}]"
